customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10016905,QR,Oct 2020,1,164.25,1,"['QR', 'Instapay Sending']",2
10016905,Instapay Sending,Oct 2020,1,1870,5,"['QR', 'Instapay Sending']",2
10016918,P2P Sending,Jul 2021,1,90400,10,['P2P Sending'],1
1001693,Bills Payment,Oct 2020,1,8076.5,4,"['Bills Payment', 'PAYMAYA SHOP']",2
1001693,PAYMAYA SHOP,Oct 2020,1,114,2,"['Bills Payment', 'PAYMAYA SHOP']",2
10016938,Instapay Sending,Aug 2018,1,1200,1,"['Instapay Sending', 'Bills Payment', 'PAYMAYA SHOP']",3
10016938,Bills Payment,Aug 2018,1,1512,1,"['Instapay Sending', 'Bills Payment', 'PAYMAYA SHOP']",3
10016938,PAYMAYA SHOP,Aug 2018,1,165,2,"['Instapay Sending', 'Bills Payment', 'PAYMAYA SHOP']",3
10016959,PAYMAYA SHOP,Jul 2021,1,50,1,['PAYMAYA SHOP'],1
10016998,ATM Withdrawal,Aug 2020,1,1,1,['ATM Withdrawal'],1
10016999,Pay with PayMaya,Jul 2019,0,49,1,"['Pay with PayMaya', 'PAYMAYA SHOP', 'QR', 'Bills Payment']",4
10016999,PAYMAYA SHOP,Jul 2019,0,378,9,"['Pay with PayMaya', 'PAYMAYA SHOP', 'QR', 'Bills Payment']",4
10016999,QR,Jul 2019,0,180,5,"['Pay with PayMaya', 'PAYMAYA SHOP', 'QR', 'Bills Payment']",4
